Trip Id,Trip Duration (seconds),Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,Hour,AM_PM,Month,DayOfWeek,lat,lon,capacity,is_charging_station,nearby_distance,is_valet_station,weather_region,Temp (°C),Precip. Amount (mm)
31797566,842,7933,09/01/2024 00:00,Elizabeth St / Elm St,7042,09/01/2024 00:14,Sherbourne St / Wellesley St E,6556,Casual Member,0,AM,September,Sunday,43.6570908165693,-79.38593668834272,23.0,False,200.0,,TORONTO_CITY,18.9,0.0
31797567,2195,7075,09/01/2024 00:00,Queens Quay W / Dan Leckie Way,7462,09/01/2024 00:36,Richmond St E / Yonge St,7316,Casual Member,0,AM,September,Sunday,43.636533,-79.395854,27.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797568,297,7712,09/01/2024 00:00,Queen St W / Shaw St,7207,09/01/2024 00:05,Dundas St W / Crawford St,1582,Casual Member,0,AM,September,Sunday,43.6442457,-79.41610440000001,22.0,False,350.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797569,4232,7927,09/01/2024 00:00,Strachan Ave / East Liberty St - SMART,7927,09/01/2024 01:10,Strachan Ave / East Liberty St - SMART,772,Casual Member,0,AM,September,Sunday,43.63906470236988,-79.41080996164456,24.0,False,100.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797570,1869,7253,09/01/2024 00:00,John St  / Mercer St - SMART,7271,09/01/2024 00:31,Yonge St / Alexander St - SMART,5989,Casual Member,0,AM,September,Sunday,43.6461,-79.3895,12.0,False,1000.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797571,880,7023,09/01/2024 00:00,College St / Borden St,7178,09/01/2024 00:14,Dundas St W / Edna Ave,8108,Casual Member,0,AM,September,Sunday,43.6571,-79.4056,11.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797572,761,7076,09/01/2024 00:00,York St / Queens Quay W,7757,09/01/2024 00:12,The Well,4029,Casual Member,0,AM,September,Sunday,43.640132,-79.380464,57.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797573,1025,7103,09/01/2024 00:00,Jimmie Simpson Park (Queen St E),7571,09/01/2024 00:17,Highfield Rd / Gerrard St E,6217,Casual Member,0,AM,September,Sunday,43.6605603,-79.3437663,15.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797575,1576,7077,09/01/2024 00:00,College Park South,7259,09/01/2024 00:26,Lower Spadina Ave / Lake Shore Blvd W,1376,Casual Member,0,AM,September,Sunday,43.65945682499,-79.38236466864778,19.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797577,4338,7927,09/01/2024 00:00,Strachan Ave / East Liberty St - SMART,7927,09/01/2024 01:12,Strachan Ave / East Liberty St - SMART,2439,Casual Member,0,AM,September,Sunday,43.63906470236988,-79.41080996164456,24.0,False,100.0,,TORONTO_CITY_CENTRE,19.8,0.0
